GeoName,Description,years,value_x,value_y,difference
South Dakota,All items,2009,85.8,100.0,-14.200000000000001
Tennessee,All items,2009,90.5,100.0,-9.5
Texas,All items,2009,96.4,100.0,-3.5999999999999943
Utah,All items,2009,97.8,100.0,-2.200000000000003
Vermont,All items,2009,100.6,100.0,0.5999999999999943
Virginia,All items,2009,103.5,100.0,3.5000000000000004
Washington,All items,2009,103.7,100.0,3.7000000000000024
West Virginia,All items,2009,87.5,100.0,-12.5
Wisconsin,All items,2009,92.9,100.0,-7.099999999999993
Wyoming,All items,2009,96.1,100.0,-3.9000000000000057
United States,Goods,2009,99.5,99.5,0.0
Alabama,Goods,2009,97.6,99.5,-1.909547738693473
Alaska,Goods,2009,102.8,99.5,3.316582914572862
Arizona,Goods,2009,101.0,99.5,1.507537688442211
Arkansas,Goods,2009,96.7,99.5,-2.814070351758791
California,Goods,2009,103.2,99.5,3.718592964824124
Colorado,Goods,2009,102.0,99.5,2.512562814070352
Connecticut,Goods,2009,104.8,99.5,5.326633165829143
Delaware,Goods,2009,102.4,99.5,2.9145728643216136
District of Columbia,Goods,2009,107.0,99.5,7.537688442211055
Florida,Goods,2009,98.8,99.5,-0.7035175879397014
Georgia,Goods,2009,97.8,99.5,-1.708542713567842
Hawaii,Goods,2009,106.8,99.5,7.336683417085424
Idaho,Goods,2009,98.5,99.5,-1.0050251256281406
Illinois,Goods,2009,101.3,99.5,1.8090452261306504
Indiana,Goods,2009,96.5,99.5,-3.015075376884422
Iowa,Goods,2009,93.6,99.5,-5.929648241206036
Kansas,Goods,2009,95.2,99.5,-4.321608040201002
Kentucky,Goods,2009,96.3,99.5,-3.2160804020100535
Louisiana,Goods,2009,97.8,99.5,-1.708542713567842
Maine,Goods,2009,98.4,99.5,-1.1055276381909491
Maryland,Goods,2009,102.9,99.5,3.417085427135684
Massachusetts,Goods,2009,98.3,99.5,-1.2060301507537718
Michigan,Goods,2009,97.6,99.5,-1.909547738693473
Minnesota,Goods,2009,97.7,99.5,-1.8090452261306504
Mississippi,Goods,2009,96.1,99.5,-3.417085427135684
Missouri,Goods,2009,92.7,99.5,-6.834170854271354
Montana,Goods,2009,99.0,99.5,-0.5025125628140703
Nebraska,Goods,2009,94.4,99.5,-5.125628140703512
Nevada,Goods,2009,97.2,99.5,-2.3115577889447207
New Hampshire,Goods,2009,98.4,99.5,-1.1055276381909491
New Jersey,Goods,2009,100.5,99.5,1.0050251256281406
New Mexico,Goods,2009,97.7,99.5,-1.8090452261306504
New York,Goods,2009,107.1,99.5,7.638190954773863
North Carolina,Goods,2009,97.6,99.5,-1.909547738693473
North Dakota,Goods,2009,93.5,99.5,-6.030150753768844
Ohio,Goods,2009,95.1,99.5,-4.422110552763825
Oklahoma,Goods,2009,97.2,99.5,-2.3115577889447207
Oregon,Goods,2009,97.7,99.5,-1.8090452261306504
Pennsylvania,Goods,2009,99.8,99.5,0.30150753768843935
Rhode Island,Goods,2009,98.5,99.5,-1.0050251256281406
South Carolina,Goods,2009,97.8,99.5,-1.708542713567842
South Dakota,Goods,2009,93.1,99.5,-6.432160804020107
Tennessee,Goods,2009,97.6,99.5,-1.909547738693473
Texas,Goods,2009,98.5,99.5,-1.0050251256281406
Utah,Goods,2009,97.5,99.5,-2.0100502512562812
Vermont,Goods,2009,98.4,99.5,-1.1055276381909491
Virginia,Goods,2009,100.6,99.5,1.1055276381909491
Washington,Goods,2009,103.4,99.5,3.9195979899497546
West Virginia,Goods,2009,96.7,99.5,-2.814070351758791
Wisconsin,Goods,2009,95.8,99.5,-3.718592964824124
Wyoming,Goods,2009,98.8,99.5,-0.7035175879397014
United States,Rents,2009,100.9,100.9,0.0
Alabama,Rents,2009,63.7,100.9,-36.868186323092175
Alaska,Rents,2009,139.3,100.9,38.05748265609515
Arizona,Rents,2009,100.3,100.9,-0.594648166501495
Arkansas,Rents,2009,61.6,100.9,-38.949454905847375
California,Rents,2009,153.7,100.9,52.3290386521308
Colorado,Rents,2009,106.9,100.9,5.946481665014866
Connecticut,Rents,2009,121.7,100.9,20.61446977205153
Delaware,Rents,2009,101.8,100.9,0.8919722497522214
District of Columbia,Rents,2009,140.0,100.9,38.75123885034687
Florida,Rents,2009,110.0,100.9,9.018830525272541
Georgia,Rents,2009,82.8,100.9,-17.938553022794853
