Year,FBS Conference,Total Revenues,Total Expenses,Excess Transfers Back,Profit
2015,B10,1535580385.32038,1523698399.7531655,10710131.84516046,22592117.41237495
2015,CUSA,393443021.6442331,391525055.36268723,0.0,1917966.2815458775
2015,FBS,52651865.46377591,53327022.51299556,0.0,-675157.049219653
2015,IND,83443951.46150643,75360743.5572761,0.0,8083207.904230326
2015,MAC,417393980.8992765,424428475.24232,0.0,-7034494.343043506
2015,MWC,519394358.48488563,521309145.1527192,0.0,-1914786.6678335667
2015,P12,908865291.7475631,921515556.5411401,0.0,-12650264.793576956
2015,SOC,1730779246.7276855,1507486270.415585,6553480.557907615,229846456.87000802
2015,SBC,313009060.1109023,306357674.79127717,0.0,6651385.319625139
2016,AAC,442410722.0,445313132.0,0.0,-2902410.0
2016,ACC,868733351.0,861376253.0,0.0,7357098.0
2016,B12,959280484.5,892199876.0,15442459.0,82523067.5
2016,B10,1623101052.0,1611908775.0,10330604.0,21522881.0
2016,CUSA,442875232.0,427094326.0,0.0,15780906.0
2016,FBS,58907711.0,58678443.5,0.0,229267.5
2016,IND,129812923.5,122166283.5,0.0,7646640.0
2016,MAC,394928249.0,403230247.5,0.0,-8301998.5
2016,MWC,495205509.0,500201071.0,0.0,-4995562.0
2016,P12,951154305.0,988712148.5,0.0,-37557843.5
2016,SOC,1860228155.0,1668663054.0,21805937.0,213371038.0
2016,SBC,338575022.0,333170939.0,0.0,5404083.0
2017,AAC,460651247.0,457865898.0,0.0,2785349.0
2017,ACC,914617003.5,943853157.0,13178557.0,-16057596.5
2017,B12,1018524938.0,962592650.5,15886771.0,71819058.5
2017,B10,1751702838.0,1722342076.0,14528230.0,43888992.0
2017,CUSA,443789746.0,444786302.0,0.0,-996556.0
2017,FBS,59577780.0,56327225.0,0.0,3250555.0
2017,IND,96108010.0,95071582.0,0.0,1036428.0
2017,MAC,418324704.0,412595459.0,0.0,5729245.0
2017,MWC,575994031.5,562822128.5,0.0,13171903.0
2017,P12,1075556917.5,1067182465.0,0.0,8374452.5
2017,SOC,1992012396.0,1774208909.0,24006503.0,241809990.0
2017,SBC,390943689.0,379202227.5,0.0,11741461.5
